지점명,일시,지점,SPI1,SPI2,SPI3,SPI4,SPI5,SPI6,SPI9,SPI12,SPI18,SPI24,연도,월
추풍령,2019-05-31,135.0,-0.2564516129032258,-0.29516129032258065,-0.5854838709677419,-0.6093548387096774,-0.8667741935483871,-0.7641935483870969,1.1658064516129032,-0.2767741935483871,0.31129032258064515,-0.3032258064516129,2019,5
추풍령,2019-06-30,135.0,-0.20533333333333334,-0.4196666666666667,-0.5176666666666666,-0.7186666666666667,-0.7386666666666667,-0.9226666666666666,0.27899999999999997,-0.12233333333333334,0.29933333333333334,-0.186,2019,6
추풍령,2019-07-31,135.0,-0.43870967741935485,-0.6070967741935483,-0.6812903225806451,-0.7309677419354839,-0.8396774193548387,-0.8622580645161291,-0.9048387096774194,-0.23838709677419356,0.005161290322580647,-0.20935483870967742,2019,7
추풍령,2019-08-31,135.0,0.19516129032258064,-0.30258064516129035,-0.40419354838709676,-0.47580645161290325,-0.5309677419354839,-0.6287096774193548,-0.7758064516129033,0.43806451612903224,0.032903225806451615,-0.22096774193548385,2019,8
추풍령,2019-09-30,135.0,0.10733333333333334,0.07233333333333333,-0.32933333333333337,-0.4083333333333333,-0.463,-0.5016666666666667,-0.6773333333333333,-0.21333333333333335,-0.22566666666666668,-0.12833333333333333,2019,9
추풍령,2019-10-31,135.0,1.8383870967741935,1.090967741935484,0.9158064516129032,0.5583870967741935,0.44290322580645164,0.34290322580645166,0.19483870967741937,0.12193548387096775,0.11709677419354839,0.33096774193548384,2019,10
추풍령,2019-11-30,135.0,-0.5673333333333334,1.7866666666666666,1.0186666666666666,0.858,0.48166666666666663,0.365,0.13766666666666666,0.006,0.01,0.369,2019,11
추풍령,2019-12-31,135.0,-0.13451612903225807,-0.4390322580645161,1.787741935483871,1.0132258064516129,0.8364516129032258,0.45483870967741935,0.19096774193548388,0.03096774193548387,0.15612903225806452,0.41903225806451616,2019,12
추풍령,2020-01-31,135.0,1.2003225806451614,0.8516129032258064,0.4770967741935484,2.074193548387097,1.2167741935483871,0.9619354838709677,0.3648387096774194,0.21225806451612902,0.4135483870967742,0.47451612903225804,2020,1
추풍령,2020-02-29,135.0,0.9106896551724138,1.4882758620689653,1.1358620689655172,0.5634482758620689,2.183793103448276,1.2986206896551722,0.5651724137931035,0.3182758620689655,1.1017241379310345,0.5603448275862069,2020,2
추풍령,2020-03-31,135.0,0.3706451612903226,0.8838709677419354,1.4651612903225808,1.1445161290322579,0.6996774193548387,2.1938709677419355,0.7412903225806452,0.44806451612903225,0.6780645161290323,0.4003225806451613,2020,3
