"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-12-05 ~ 2025-12-04"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"88","경상남도 진주시 지수면 압사리","2**","답","농림지역","8m미만","202512","01","1196.10","4,525","","-","직거래","-"
"89","경상남도 의령군 대의면 마쌍리","4**","대","계획관리지역","8m미만","202512","01","134.00","3,351","","-","중개거래","경남 산청군"
"90","경상남도 거제시 거제면 오수리","8**","답","자연환경보전","8m미만","202512","01","2050.00","16,503","","-","직거래","-"
"91","경상남도 거제시 거제면 오수리","7**","답","자연환경보전","-","202512","01","2264.00","16,074","","-","직거래","-"
"92","경상남도 거제시 사등면 창호리","2***","전","자연환경보전","-","202512","01","93.00","1,500","","-","직거래","-"
"93","경상남도 거제시 거제면 오수리","7**","답","자연환경보전","-","202512","01","803.00","5,541","","-","직거래","-"
"94","경상남도 거제시 거제면 오수리","7**","답","자연환경보전","-","202512","01","1514.00","11,128","","-","직거래","-"
"95","경상남도 거제시 거제면 오수리","7**","답","자연환경보전","-","202512","01","109.00","752","","-","직거래","-"
"96","경상남도 창원시 마산합포구 구산면 옥계리","7**","임야","계획관리지역","-","202512","01","414.00","1,850","","-","직거래","-"
"97","경상남도 거제시 장목면 장목리","산3*","임야","계획관리지역","-","202512","01","165.00","3,381","지분","-","직거래","-"
"98","경상남도 거제시 거제면 오수리","8**","답","자연환경보전","-","202512","01","780.00","5,070","","-","직거래","-"
"99","경상남도 거제시 장목면 장목리","산3*","임야","계획관리지역","-","202512","01","33.00","690","지분","-","직거래","-"
"100","경상남도 거제시 장목면 장목리","산3*","임야","계획관리지역","-","202512","01","66.00","1,352","지분","-","직거래","-"
"101","경상남도 거제시 장목면 장목리","산3*","임야","계획관리지역","-","202512","01","165.00","3,381","지분","-","직거래","-"
"102","경상남도 거제시 장목면 장목리","산3*","임야","계획관리지역","-","202512","01","66.00","1,352","지분","-","직거래","-"
"103","경상남도 김해시 진례면 송현리","8**","도로","계획관리지역","-","202512","01","124.00","600","","-","직거래","-"
"104","경상남도 김해시 진례면 송현리","8**","공장용지","계획관리지역","8m미만","202512","01","1636.00","80,000","","-","직거래","-"
"105","경상남도 함안군 산인면 송정리","2**","임야","보전관리지역","8m미만","202512","01","143.00","817","","-","직거래","-"
"106","경상남도 사천시 곤양면 중항리","5**","전","계획관리지역","-","202512","01","1183.00","3,580","","-","직거래","-"
"107","경상남도 거제시 장목면 율천리","산1*","임야","농림지역","-","202512","01","33.00","340","지분","-","직거래","-"
