시도,연도,작물,항목,값
경상북도,2024,떫은감,생산량 (톤),59055
경상남도,2019,떫은감,생산량 (톤),18614
경상남도,2020,떫은감,생산량 (톤),16439
경상남도,2021,떫은감,생산량 (톤),16481
경상남도,2022,떫은감,생산량 (톤),20162
경상남도,2023,떫은감,생산량 (톤),14549
경상남도,2024,떫은감,생산량 (톤),17868
강원도,2019,자두,면적 (ha),29
강원도,2020,자두,면적 (ha),59
강원도,2021,자두,면적 (ha),79
강원도,2022,자두,면적 (ha),119
강원도,2023,자두,면적 (ha),87
강원도,2024,자두,면적 (ha),83
전라남도,2019,자두,면적 (ha),60
전라남도,2020,자두,면적 (ha),62
전라남도,2021,자두,면적 (ha),49
전라남도,2022,자두,면적 (ha),62
전라남도,2023,자두,면적 (ha),75
전라남도,2024,자두,면적 (ha),62
경상북도,2019,자두,면적 (ha),4377
경상북도,2020,자두,면적 (ha),4472
경상북도,2021,자두,면적 (ha),4552
경상북도,2022,자두,면적 (ha),4426
경상북도,2023,자두,면적 (ha),4318
경상북도,2024,자두,면적 (ha),3742
경상남도,2019,자두,면적 (ha),195
경상남도,2020,자두,면적 (ha),192
경상남도,2021,자두,면적 (ha),202
경상남도,2022,자두,면적 (ha),238
경상남도,2023,자두,면적 (ha),239
경상남도,2024,자두,면적 (ha),282
강원도,2019,자두,10a당 생산량 (kg),752
강원도,2020,자두,10a당 생산량 (kg),706
강원도,2021,자두,10a당 생산량 (kg),820
강원도,2022,자두,10a당 생산량 (kg),816
강원도,2023,자두,10a당 생산량 (kg),753
강원도,2024,자두,10a당 생산량 (kg),765
전라남도,2019,자두,10a당 생산량 (kg),971
전라남도,2020,자두,10a당 생산량 (kg),381
전라남도,2021,자두,10a당 생산량 (kg),374
전라남도,2022,자두,10a당 생산량 (kg),363
전라남도,2023,자두,10a당 생산량 (kg),362
전라남도,2024,자두,10a당 생산량 (kg),332
경상북도,2019,자두,10a당 생산량 (kg),997
경상북도,2020,자두,10a당 생산량 (kg),961
경상북도,2021,자두,10a당 생산량 (kg),956
경상북도,2022,자두,10a당 생산량 (kg),1023
경상북도,2023,자두,10a당 생산량 (kg),969
경상북도,2024,자두,10a당 생산량 (kg),942
경상남도,2019,자두,10a당 생산량 (kg),934
경상남도,2020,자두,10a당 생산량 (kg),1240
경상남도,2021,자두,10a당 생산량 (kg),787
경상남도,2022,자두,10a당 생산량 (kg),766
경상남도,2023,자두,10a당 생산량 (kg),622
경상남도,2024,자두,10a당 생산량 (kg),747
강원도,2019,자두,생산량 (톤),221
강원도,2020,자두,생산량 (톤),417
강원도,2021,자두,생산량 (톤),651
강원도,2022,자두,생산량 (톤),973
강원도,2023,자두,생산량 (톤),657
강원도,2024,자두,생산량 (톤),638
전라남도,2019,자두,생산량 (톤),578
전라남도,2020,자두,생산량 (톤),237
전라남도,2021,자두,생산량 (톤),182
전라남도,2022,자두,생산량 (톤),226
전라남도,2023,자두,생산량 (톤),270
전라남도,2024,자두,생산량 (톤),206
경상북도,2019,자두,생산량 (톤),43631
경상북도,2020,자두,생산량 (톤),42978
경상북도,2021,자두,생산량 (톤),43491
경상북도,2022,자두,생산량 (톤),45284
경상북도,2023,자두,생산량 (톤),41853
경상북도,2024,자두,생산량 (톤),35252
경상남도,2019,자두,생산량 (톤),1822
경상남도,2020,자두,생산량 (톤),2382
경상남도,2021,자두,생산량 (톤),1592
경상남도,2022,자두,생산량 (톤),1825
경상남도,2023,자두,생산량 (톤),1485
경상남도,2024,자두,생산량 (톤),2106
강원도,2019,매실,면적 (ha),129
강원도,2020,매실,면적 (ha),141
강원도,2021,매실,면적 (ha),103
강원도,2022,매실,면적 (ha),86
강원도,2023,매실,면적 (ha),102
강원도,2024,매실,면적 (ha),98
전라남도,2019,매실,면적 (ha),3491
전라남도,2020,매실,면적 (ha),3172
전라남도,2021,매실,면적 (ha),2458
전라남도,2022,매실,면적 (ha),2645
전라남도,2023,매실,면적 (ha),2418
전라남도,2024,매실,면적 (ha),2243
경상북도,2019,매실,면적 (ha),552
경상북도,2020,매실,면적 (ha),488
경상북도,2021,매실,면적 (ha),332
경상북도,2022,매실,면적 (ha),294
경상북도,2023,매실,면적 (ha),256
경상북도,2024,매실,면적 (ha),227
경상남도,2019,매실,면적 (ha),1379
경상남도,2020,매실,면적 (ha),1235
경상남도,2021,매실,면적 (ha),1051
경상남도,2022,매실,면적 (ha),1177
경상남도,2023,매실,면적 (ha),1081
경상남도,2024,매실,면적 (ha),991
강원도,2019,매실,10a당 생산량 (kg),302
강원도,2020,매실,10a당 생산량 (kg),451
강원도,2021,매실,10a당 생산량 (kg),466
강원도,2022,매실,10a당 생산량 (kg),445
강원도,2023,매실,10a당 생산량 (kg),414
강원도,2024,매실,10a당 생산량 (kg),425
전라남도,2019,매실,10a당 생산량 (kg),570
전라남도,2020,매실,10a당 생산량 (kg),465
전라남도,2021,매실,10a당 생산량 (kg),469
전라남도,2022,매실,10a당 생산량 (kg),489
전라남도,2023,매실,10a당 생산량 (kg),443
전라남도,2024,매실,10a당 생산량 (kg),383
경상북도,2019,매실,10a당 생산량 (kg),525
경상북도,2020,매실,10a당 생산량 (kg),495
경상북도,2021,매실,10a당 생산량 (kg),493
경상북도,2022,매실,10a당 생산량 (kg),501
경상북도,2023,매실,10a당 생산량 (kg),504
경상북도,2024,매실,10a당 생산량 (kg),496
경상남도,2019,매실,10a당 생산량 (kg),733
경상남도,2020,매실,10a당 생산량 (kg),793
경상남도,2021,매실,10a당 생산량 (kg),759
경상남도,2022,매실,10a당 생산량 (kg),630
경상남도,2023,매실,10a당 생산량 (kg),532
경상남도,2024,매실,10a당 생산량 (kg),584
강원도,2019,매실,생산량 (톤),388
강원도,2020,매실,생산량 (톤),633
강원도,2021,매실,생산량 (톤),481
강원도,2022,매실,생산량 (톤),381
강원도,2023,매실,생산량 (톤),422
강원도,2024,매실,생산량 (톤),415
전라남도,2019,매실,생산량 (톤),19882
전라남도,2020,매실,생산량 (톤),14739
전라남도,2021,매실,생산량 (톤),11523
전라남도,2022,매실,생산량 (톤),12924
전라남도,2023,매실,생산량 (톤),10699
전라남도,2024,매실,생산량 (톤),8596
경상북도,2019,매실,생산량 (톤),2894
경상북도,2020,매실,생산량 (톤),2414
경상북도,2021,매실,생산량 (톤),1638
경상북도,2022,매실,생산량 (톤),1474
경상북도,2023,매실,생산량 (톤),1290
경상북도,2024,매실,생산량 (톤),1123
경상남도,2019,매실,생산량 (톤),10108
경상남도,2020,매실,생산량 (톤),9794
경상남도,2021,매실,생산량 (톤),7982
경상남도,2022,매실,생산량 (톤),7418
경상남도,2023,매실,생산량 (톤),5751
경상남도,2024,매실,생산량 (톤),5787
