구분,2010년,,2011년,,2012년,,2013년,,2014년,
,평균,필지,평균,필지,평균,필지,평균,필지,평균,필지
,최소,최대,최소,최대,최소,최대,최소,최대,최소,최대
강원도 횡성군,"36,088","2,059","36,400","1,881","36,430","1,444","36,673","1,320","33,886",349
,"1,900","105,630","1,850","107,690",640,"110,330","2,260","120,990","4,210","95,390"
강원도 영월군,"18,892","1,534","22,433","1,535","22,735","1,322","23,240","1,196","23,555",291
,860,"66,130",470,"79,790",380,"78,150",670,"94,070",410,"75,000"
강원도 평창군,"32,979","1,788","42,930","1,676","41,788","1,571","39,945","1,272","42,705",280
,300,"120,040","1,040","130,590",670,"141,190",370,"136,570","1,890","122,850"
강원도 정선군,"13,784",910,"14,047",815,"16,571",812,"13,474",771,"15,033",161
,330,"45,770",550,"49,600",40,"59,800",180,"47,240","1,180","53,030"
강원도 철원군,"21,954",884,"23,945",899,"20,503",964,"20,005",965,"20,940",297
,330,"58,580",170,"61,930",320,"54,860","1,210","47,520","5,740","40,390"
강원도 화천군,"24,578",719,"27,621",597,"25,454",659,"22,926",571,"25,641",133
,"1,040","82,860","1,700","90,730",680,"77,260",390,"63,460","2,460","75,520"
강원도 양구군,"16,377",692,"16,606",728,"17,796",612,"18,339",554,"16,719",97
,"1,530","49,810","1,170","50,570",620,"56,000",790,"67,980","2,500","47,580"
강원도 인제군,"27,700",925,"29,076",749,"24,783",726,"29,415",686,"28,907",123
,930,"99,190",800,"103,010",370,"81,500",540,"122,440","1,360","116,380"
강원도 고성군,"21,120",659,"21,602",507,"16,962",502,"18,398",442,"16,883",127
,490,"80,250","2,170","75,600",50,"53,330",840,"63,330","3,900","56,710"
강원도 양양군,"21,019",689,"29,744",740,"28,791",564,"27,410",538,"22,786",109
,170,"82,720","1,450","104,170",440,"101,690",720,"104,160","4,030","60,750"
충청북도 청주시 상당구,"179,747",213,"140,752",171,"169,158",256,"173,771",234,"183,659",41
,"13,120","483,030","6,370","480,770","14,750","517,200","15,360","562,500","27,060","474,350"
충청북도 청주시 흥덕구,"130,193",255,"151,380",349,"145,294",335,"155,367",396,"134,379",101
,"10,300","444,440","4,460","473,350","7,290","484,130","12,610","545,140","8,390","363,000"
충청북도 충주시,"36,535","2,292","42,751","2,173","48,360","2,218","43,984","2,068","38,322",472
,"1,020","118,430",700,"153,510",910,"167,630","1,910","155,000","1,970","125,520"
충청북도 제천시,"27,178","1,423","27,296","1,580","30,869","1,464","29,647","1,264","27,050",352
,"1,030","98,960",990,"99,670","1,030","120,120",240,"113,420","1,560","104,130"
충청북도 청원군,"56,582","2,690","59,780","2,719","59,482","2,504","70,809","2,527","61,628",630
,560,"209,700","1,880","206,110","2,270","208,330","3,260","245,590",160,"209,300"
충청북도 보은군,"16,163","1,090","16,408","1,218","16,531","1,181","18,130","1,033","18,944",349
,790,"45,880",400,"43,480",310,"45,100",660,"45,450","1,510","40,740"
충청북도 옥천군,"20,610","1,530","21,930","1,526","21,468","1,338","23,462","1,266","26,411",310
,940,"72,360",530,"76,440",20,"70,320",440,"83,850",670,"90,730"
충청북도 영동군,"14,056","1,714","14,527","1,774","16,175","1,610","18,325","1,516","16,685",393
,210,"42,350",420,"43,800",420,"46,690",370,"54,540","1,840","45,710"
충청북도 증평군,"34,687",271,"43,332",192,"54,420",340,"41,278",238,"47,316",52
,"1,340","91,250","4,690","143,990","3,440","172,920","7,180","130,750","11,180","155,860"
충청북도 진천군,"49,089","1,191","45,767","1,211","45,152","1,193","49,195","1,265","41,800",264
,"4,490","155,740","3,500","131,760","1,040","135,860","3,850","163,710","4,470","132,020"
충청북도 괴산군,"21,940","2,182","23,368","2,336","23,847","1,900","26,555","1,798","25,343",499
,"1,150","63,050",780,"70,380",580,"66,010",950,"80,600",820,"74,860"
충청북도 음성군,"37,381","2,099","42,955","1,920","43,324","1,893","40,149","1,632","35,788",402
,"1,310","124,530","3,490","130,480","1,510","133,690","1,220","133,540","5,950","106,250"
충청북도 단양군,"15,380","1,159","14,539","1,023","18,057",943,"17,852","1,026","18,558",208
,240,"49,300","1,030","46,490",870,"62,080",550,"61,320","1,500","69,230"
충청남도 천안시 동남구,"78,737","1,263","79,480",955,"77,438",912,"78,077",947,"63,870",226
,"3,130","305,420","7,700","319,630","3,600","301,630","2,650","315,790","4,230","212,020"
충청남도 천안시 서북구,"105,915",838,"112,519",660,"102,151",519,"176,582",567,"251,946",122
,"7,520","305,340","16,570","312,500","1,090","300,000","14,130","954,880","19,600","917,240"
충청남도 공주시,"42,468","2,208","40,616","2,084","43,579","2,013","42,553","1,858","36,278",466
,"1,650","147,280",380,"145,790","2,720","153,140","1,440","166,470","2,400","116,770"
충청남도 보령시,"22,710","1,603","22,647","1,648","25,128","1,486","25,680","1,461","20,046",425
,"1,660","75,130","2,140","74,290","3,490","88,410","1,770","103,380","6,220","60,500"
충청남도 아산시,"77,010","1,967","73,485","1,737","82,955","1,785","85,322","1,648","73,464",438
,"4,580","264,950",160,"272,250","3,030","296,060","4,120","309,570","11,900","272,240"
충청남도 서산시,"37,588","2,053","35,313","2,040","36,230","1,623","27,845","2,029","27,028",560
,"4,410","136,180","1,190","128,400","3,170","126,930","3,480","109,510","1,860","100,000"
충청남도 논산시,"23,803","2,521","23,629","2,407","27,472","1,967","26,654","2,219","27,663",555
,30,"71,090",570,"65,460","1,940","80,810","3,250","75,470","4,550","77,650"
충청남도 계룡시,"81,699",59,"93,320",75,"90,906",52,"128,302",45,"84,779",21
,"4,260","166,670","10,440","242,650","14,200","154,760","16,150","339,170","15,310","211,200"
충청남도 당진시,-,-,"52,433",232,"57,253","1,900","58,536","1,755","52,509",579
,-,-,"9,660","177,140","2,960","226,480",480,"313,600","3,440","200,420"
